route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
B,ESP2_2,ESP2_B_2_5.B29,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_5.B30,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_5.B31,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_5.B32,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_5.B33,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_5.B34,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_5.B35,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_5.B36,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_5.B37,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_5.B38,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_5.B39,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_5.B40,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_5.B040,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_5.B041,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_5.B042,Odivelas,1,ESP2_shp_amarela_ra-od
A,ESP2_2,ESP2_A_2_5.A1,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_5.A2,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_5.A3,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_5.A4,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_5.A5,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_5.A6,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_5.A7,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_5.A8,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_5.A9,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_5.A10,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_5.A11,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_5.A12,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_5.A13,Santa Apolónia,0,ESP2_shp_azul_rb-sp
A,ESP2_2,ESP2_A_2_5.A14,Reboleira,1,ESP2_shp_azul_sp-rb
A,ESP2_2,ESP2_A_2_5.A15,Santa Apolónia,0,ESP2_shp_azul_rb-sp
