route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
B,ESP2_2,ESP2_B_2_2.B19,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_2.B20,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_2.B21,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_2.B22,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_2.B23,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_2.B24,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_2.B25,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_2.B26,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_2.B27,Rato,0,ESP2_shp_amarela_od-ra
B,ESP2_2,ESP2_B_2_2.B28,Odivelas,1,ESP2_shp_amarela_ra-od
B,ESP2_2,ESP2_B_2_2.B29,Rato,0,ESP2_shp_amarela_od-ra
