stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
AM,"Alameda",38.737255,-9.134086,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/alameda/,1,
AM1,"Alameda",38.737255,-9.134086,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/alameda/,0,AM
AM2,"Alameda",38.737255,-9.134086,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/alameda/,0,AM
AM3,"Alameda",38.737255,-9.134086,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/alameda/,0,AM
AM4,"Alameda",38.737255,-9.134086,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/alameda/,0,AM
AF,"Alfornelos",38.760616,-9.204708,1,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/alfornelos/,,
AH,"Alto dos Moinhos",38.74958,-9.179946,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/alto-dos-moinhos/,,
AL,"Alvalade",38.753456,-9.143883,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/alvalade/,,
AS,"Amadora Este",38.758373,-9.219171,1,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/amadora-este/,,
AX,"Ameixoeira",38.779903,-9.159986,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/ameixoeira/,,
AN,"Anjos",38.726616,-9.135025,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/anjos/,,
AE,"Areeiro",38.7426,-9.133807,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/areeiro/,,
AR,"Arroios",38.733475,-9.134451,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/arroios/,,
AV,"Avenida",38.720116,-9.145823,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/avenida/,,
BC,"Baixa / Chiado",38.71067,-9.139091,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/baixa-chiado/,1,
BC1,"Baixa / Chiado",38.71067,-9.139091,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/baixa-chiado/,0,BC
BC2,"Baixa / Chiado",38.71067,-9.139091,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/baixa-chiado/,0,BC
BC3,"Baixa / Chiado",38.71067,-9.139091,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/baixa-chiado/,0,BC
BC4,"Baixa / Chiado",38.71067,-9.139091,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/baixa-chiado/,0,BC
BV,"Bela Vista",38.747738,-9.118547,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/bela-vista/,,
CR,"Cabo Ruivo",38.763195,-9.104093,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/cabo-ruivo/,,
CS,"Cais do Sodré",38.706154,-9.145029,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/cais-do-sodre/,,
CG,"Campo Grande",38.75988,-9.157941,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/campo-grande/,1,
CG1,"Campo Grande",38.75988,-9.157941,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/campo-grande/,0,CG
CG2,"Campo Grande",38.75988,-9.157941,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/campo-grande/,0,CG
CG3,"Campo Grande",38.75988,-9.157941,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/campo-grande/,0,CG
CG4,"Campo Grande",38.75988,-9.157941,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/campo-grande/,0,CG
CP,"Campo Pequeno",38.74142,-9.147035,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/campo-pequeno/,,
CA,"Carnide",38.759308,-9.192812,L,https://www.metrolisboa.pt/informacao/planear-a-viagem/diagrama-e-mapa-de-rede/carnide/,,
